Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""PDPPage/discountPrice_PDP""), 0)",Chrome 122.0.0.0,"verify discount price present
",,23-02-2024 19:38:27,23-02-2024 19:38:27,0.304s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/cardPrice_PDP""), 0)",Chrome 122.0.0.0,"verify card price present
",,23-02-2024 19:38:27,23-02-2024 19:38:28,0.292s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:38:28,23-02-2024 19:38:39,11.506s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_056,Chrome 122.0.0.0,To verify the display of PDP for single sku,,23-02-2024 19:38:39,23-02-2024 19:39:27,48.116s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""pantalon""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:38:39,23-02-2024 19:38:47,7.680s,PASSED
"click(findTestObject(""PLPPage/product-2-DiscountPrice_PLP""))",Chrome 122.0.0.0,,,23-02-2024 19:38:47,23-02-2024 19:38:54,7.534s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/ProductName_PDP""))",Chrome 122.0.0.0,,,23-02-2024 19:38:54,23-02-2024 19:39:13,18.373s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/ProductID_pdp""))",Chrome 122.0.0.0,,,23-02-2024 19:39:13,23-02-2024 19:39:14,0.704s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/discountPrice_PDP""))",Chrome 122.0.0.0,,,23-02-2024 19:39:14,23-02-2024 19:39:14,0.405s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Colour1_PDP""))",Chrome 122.0.0.0,,,23-02-2024 19:39:14,23-02-2024 19:39:14,0.332s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Alternate_Img_pdp""))",Chrome 122.0.0.0,,,23-02-2024 19:39:14,23-02-2024 19:39:15,0.324s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 122.0.0.0,,,23-02-2024 19:39:15,23-02-2024 19:39:15,0.300s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Detail_PDP""))",Chrome 122.0.0.0,,,23-02-2024 19:39:15,23-02-2024 19:39:15,0.336s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/breadCrumb_pdp""))",Chrome 122.0.0.0,,,23-02-2024 19:39:15,23-02-2024 19:39:16,0.292s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:39:16,23-02-2024 19:39:27,11.769s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_057,Chrome 122.0.0.0,To verify the display of PDP for multi  sku item,,23-02-2024 19:39:27,23-02-2024 19:40:04,36.184s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""1016539127""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:39:27,23-02-2024 19:39:37,9.748s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/discountPrice_PDP""))",Chrome 122.0.0.0,,,23-02-2024 19:39:37,23-02-2024 19:39:49,11.895s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/breadCrumb_pdp""))",Chrome 122.0.0.0,"
",,23-02-2024 19:39:49,23-02-2024 19:39:49,0.317s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Colour1_PDP""))",Chrome 122.0.0.0,,,23-02-2024 19:39:49,23-02-2024 19:39:50,0.289s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Colour2_PDP""))",Chrome 122.0.0.0,,,23-02-2024 19:39:50,23-02-2024 19:39:50,0.308s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 122.0.0.0,,,23-02-2024 19:39:50,23-02-2024 19:39:51,0.559s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Alternate_Img_pdp""))",Chrome 122.0.0.0,,,23-02-2024 19:39:51,23-02-2024 19:39:51,0.352s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Detail_PDP""))",Chrome 122.0.0.0,"
",,23-02-2024 19:39:51,23-02-2024 19:39:51,0.305s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/ProductName_PDP""))",Chrome 122.0.0.0,"verify pdp price

",,23-02-2024 19:39:51,23-02-2024 19:39:51,0.322s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/ProductID_pdp""))",Chrome 122.0.0.0,"verify pdp price

",,23-02-2024 19:39:51,23-02-2024 19:39:52,0.292s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Detail_PDP""))",Chrome 122.0.0.0,"verify pdp price

",,23-02-2024 19:39:52,23-02-2024 19:39:52,0.317s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:39:52,23-02-2024 19:40:04,11.422s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Search/TS_SMOKE_SUITE_059,Chrome 122.0.0.0,To verify the default display of the products per page in the search result page,search,23-02-2024 19:40:04,23-02-2024 19:40:39,35.450s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""mac""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:40:04,23-02-2024 19:40:12,8.167s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/product_56_PDP""), 0)",Chrome 122.0.0.0,"last product at a page  not 45

",,23-02-2024 19:40:12,23-02-2024 19:40:17,4.867s,PASSED
"verifyElementNotPresent(findTestObject(""PDPPage/product_57_PDP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:40:17,23-02-2024 19:40:17,0.342s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:40:17,23-02-2024 19:40:39,22.004s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Search/TS_SMOKE_SUITE_060,Chrome 122.0.0.0,To verify the functionality of facet selection in search result page.,,23-02-2024 19:40:39,23-02-2024 19:42:02,1m - 22.722s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,23-02-2024 19:40:39,23-02-2024 19:40:40,1.059s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,23-02-2024 19:40:40,23-02-2024 19:41:15,35.281s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""mac""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:41:15,23-02-2024 19:41:24,8.168s,PASSED
waitForPageLoad(0),Chrome 122.0.0.0,,,23-02-2024 19:41:24,23-02-2024 19:41:24,0.012s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/Facet_Seller_liverpool_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:41:24,23-02-2024 19:41:32,8.293s,PASSED
"a = getText(findTestObject(""PLPPage/Facet_Seller_liverpool_title_PLP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:41:32,23-02-2024 19:41:32,0.334s,PASSED
"click(findTestObject(""PLPPage/facetes/Facet_Seller_liverpool_PLP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:41:32,23-02-2024 19:41:33,0.411s,PASSED
"b = getText(findTestObject(""PLPPage/facetes/selectedfacet1_PLP""))",Chrome 122.0.0.0,,,23-02-2024 19:41:33,23-02-2024 19:41:39,6.494s,PASSED
out.println(a),Chrome 122.0.0.0,,,23-02-2024 19:41:39,23-02-2024 19:41:39,0.001s,PASSED
out.println(b),Chrome 122.0.0.0,,,23-02-2024 19:41:39,23-02-2024 19:41:39,0.001s,PASSED
if (a.contains(b)),Chrome 122.0.0.0,,,23-02-2024 19:41:39,23-02-2024 19:41:39,0.011s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,23-02-2024 19:41:39,23-02-2024 19:42:02,22.548s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Search/TS_SMOKE_SUITE_061,Chrome 122.0.0.0,To verify the functionality of pagination in search result page.,search,23-02-2024 19:42:02,23-02-2024 19:42:57,55.568s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""mac""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:42:02,23-02-2024 19:42:10,7.816s,PASSED
waitForPageLoad(0),Chrome 122.0.0.0,,,23-02-2024 19:42:10,23-02-2024 19:42:10,0.012s,PASSED
"scrollToElement(findTestObject(""PLPPage/pagenation_1_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:42:10,23-02-2024 19:42:13,3.834s,PASSED
"scrollToPosition(450, 0)",Chrome 122.0.0.0,,,23-02-2024 19:42:13,23-02-2024 19:42:14,0.029s,PASSED
"click(findTestObject(""PLPPage/pagenation_2_PLP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:42:14,23-02-2024 19:42:14,0.412s,PASSED
delay(10),Chrome 122.0.0.0,,,23-02-2024 19:42:14,23-02-2024 19:42:24,10.008s,PASSED
a1 = getUrl(),Chrome 122.0.0.0,,,23-02-2024 19:42:24,23-02-2024 19:42:24,0.017s,PASSED
out.println(a1),Chrome 122.0.0.0,,,23-02-2024 19:42:24,23-02-2024 19:42:24,0.005s,PASSED
"a = a1.contains(""page-2"")",Chrome 122.0.0.0,,,23-02-2024 19:42:24,23-02-2024 19:42:24,0.001s,PASSED
out.println(a),Chrome 122.0.0.0,,,23-02-2024 19:42:24,23-02-2024 19:42:24,0.000s,PASSED
"scrollToElement(findTestObject(""PLPPage/pagenation_1_PLP""), 0)",Chrome 122.0.0.0,,,23-02-2024 19:42:24,23-02-2024 19:42:24,0.285s,PASSED
waitForPageLoad(0),Chrome 122.0.0.0,,,23-02-2024 19:42:24,23-02-2024 19:42:24,0.015s,PASSED
"click(findTestObject(""PLPPage/pagenation_1_PLP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,23-02-2024 19:42:24,23-02-2024 19:42:25,0.390s,PASSED
delay(10),Chrome 122.0.0.0,,,23-02-2024 19:42:25,23-02-2024 19:42:35,10.010s,PASSED
if (a == true),Chrome 122.0.0.0,,,23-02-2024 19:42:35,23-02-2024 19:42:35,0.002s,PASSED
